feature_id,correct_answer,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label
L22_F118125,photon,152,150,-2.0077097039473686,2.0109991776315788,5.875,0.019736842105263157,3,,,,
L22_F118125,proton,80,80,-1.16796875,1.248046875,3.3125,0.0125,1,,,,
L22_F139040,electron,80,80,-2.3029296875,2.3029296875,4.5625,0.0,0,,,,
L22_F139040,neutron,135,135,-2.698611111111111,2.713425925925926,6.59375,0.014814814814814815,2,,,,
L22_F139040,photon,152,152,-2.0059621710526314,2.009251644736842,5.9375,0.019736842105263157,3,,,,
L22_F139040,proton,80,80,-1.181640625,1.26875,3.375,0.025,2,,,,
L22_F27223,electron,80,80,-2.252734375,2.252734375,4.4375,0.0,0,,,,
L22_F27223,neutron,135,135,-2.644212962962963,2.6590277777777778,6.53125,0.014814814814814815,2,,,,
L22_F27223,photon,152,150,-1.9581620065789473,1.9622738486842106,5.78125,0.019736842105263157,3,,,,
L22_F27223,proton,80,80,-1.16015625,1.239453125,3.40625,0.0,0,,,,
L22_F39641,electron,80,80,-2.3216796875,2.3216796875,4.5,0.0,0,22.0,2.0,1.0,α-attr
L22_F39641,neutron,135,135,-2.6777777777777776,2.6944444444444446,6.78125,0.014814814814814815,2,22.0,2.0,1.0,α-attr
L22_F39641,photon,152,150,-1.988795230263158,1.9920847039473684,5.375,0.02631578947368421,4,22.0,2.0,1.0,α-attr
L22_F39641,proton,80,80,-1.262109375,1.3328125,3.53125,0.0,0,22.0,2.0,1.0,α-attr
L22_F41906,electron,80,80,-2.202734375,2.202734375,4.3125,0.0,0,,,,
L22_F41906,neutron,135,135,-2.617939814814815,2.6309027777777776,6.4375,0.014814814814814815,2,,,,
L22_F41906,photon,152,150,-1.9171463815789473,1.920435855263158,5.875,0.019736842105263157,3,,,,
L22_F41906,proton,80,80,-1.116015625,1.19609375,3.28125,0.0,0,,,,
L22_F63642,electron,80,80,-2.296484375,2.296484375,4.4375,0.0,0,,,,
L22_F63642,neutron,135,134,-2.691550925925926,2.7082175925925926,6.59375,0.014814814814814815,2,,,,
L22_F63642,photon,152,150,-2.0300164473684212,2.0324835526315788,5.875,0.019736842105263157,3,,,,
L22_F63642,proton,80,80,-1.177734375,1.259375,3.375,0.0125,1,,,,
L23_F118675,electron,80,78,-0.0912109375,0.5181640625,2.125,0.0,0,,,,
L23_F118675,neutron,135,134,-1.065625,1.1221064814814814,3.828125,0.014814814814814815,2,,,,
L23_F118675,photon,152,152,-1.2056949013157894,1.318153782894737,4.0625,0.03289473684210526,5,,,,
L23_F118675,proton,80,80,-0.104296875,0.483203125,1.5,0.0125,1,,,,
