cluster,prompt_idx,correct_answer,filter_property,wording_family,nd_baseline,nd_ablated,delta_nd,abs_delta_nd,sign_flip
1,274,electron,negative_charge_atomic,F1_direct_implicit,5.05817985534668,0.10577774047851562,-4.952402114868164,4.952402114868164,False
1,96,photon,massless_em_mediator,F2_contextual_implicit,5.005096435546875,-1.5093083381652832,-6.514404773712158,6.514404773712158,True
1,229,proton,positive_charge_atomic,F4_contrast_implicit,6.669107437133789,3.215001106262207,-3.454106330871582,3.454106330871582,False
1,396,neutron,neutral_charge_atomic,F2_contextual_implicit,10.24449348449707,4.026846885681152,-6.217646598815918,6.217646598815918,False
1,278,photon,massless_em_mediator,F3_process_implicit,4.563709259033203,-0.3344707489013672,-4.89818000793457,4.89818000793457,True
1,409,proton,positive_charge_atomic,F1_direct_implicit,5.888552665710449,1.0041437149047852,-4.884408950805664,4.884408950805664,False
1,175,neutron,nuclear_stability_provider,F3_process_implicit,9.225187301635742,1.4518871307373047,-7.7733001708984375,7.7733001708984375,False
1,194,proton,positive_charge_atomic,F2_contextual_implicit,7.355550289154053,2.7044057846069336,-4.651144504547119,4.651144504547119,False
1,343,neutron,neutral_charge_atomic,F1_direct_implicit,6.9425201416015625,-0.6235017776489258,-7.566021919250488,7.566021919250488,True
1,186,photon,em_quantum,F4_contrast_implicit,2.1360244750976562,0.2994508743286133,-1.836573600769043,1.836573600769043,False
1,264,photon,massless_em_mediator,F1_direct_implicit,7.087494373321533,-2.9172396659851074,-10.00473403930664,10.00473403930664,True
1,301,neutron,nuclear_stability_provider,F1_direct_implicit,8.724493980407715,0.045650482177734375,-8.67884349822998,8.67884349822998,False
1,150,proton,positive_charge_atomic,F2_contextual_implicit,10.114629745483398,3.390174388885498,-6.7244553565979,6.7244553565979,False
1,136,neutron,nuclear_stability_provider,F4_contrast_implicit,-0.008975982666015625,0.2962360382080078,0.30521202087402344,0.30521202087402344,False
1,270,neutron,nuclear_stability_provider,F4_contrast_implicit,8.278087615966797,1.3752994537353516,-6.902788162231445,6.902788162231445,False
1,415,proton,positive_charge_atomic,F2_contextual_implicit,1.4892148971557617,1.6270618438720703,0.1378469467163086,0.1378469467163086,False
1,283,neutron,nuclear_stability_provider,F2_contextual_implicit,6.504840850830078,1.8893394470214844,-4.615501403808594,4.615501403808594,False
1,444,electron,negative_charge_atomic,F2_contextual_implicit,7.047216415405273,2.2597951889038086,-4.787421226501465,4.787421226501465,False
