cluster,prompt_idx,correct_answer,filter_property,nd_baseline,nd_steered,delta_nd,steering_coeff
1,381,neutron,neutral_charge_atomic,6.245100975036621,1.970970630645752,-4.274130344390869,5.0
1,432,photon,em_quantum,6.171609401702881,-2.957559585571289,-9.12916898727417,5.0
1,275,neutron,nuclear_stability_provider,8.71495246887207,2.141775131225586,-6.573177337646484,5.0
1,203,electron,negative_charge_atomic,8.828190803527832,0.8386907577514648,-7.989500045776367,5.0
1,18,neutron,nuclear_stability_provider,8.582381248474121,-0.9178628921508789,-9.500244140625,5.0
1,392,electron,negative_charge_atomic,7.321447372436523,3.3703298568725586,-3.951117515563965,5.0
1,254,neutron,nuclear_stability_provider,10.739198684692383,0.5116262435913086,-10.227572441101074,5.0
1,347,proton,positive_charge_atomic,3.710710048675537,1.4440174102783203,-2.266692638397217,5.0
1,297,electron,negative_charge_atomic,6.509035110473633,0.843571662902832,-5.665463447570801,5.0
1,178,neutron,neutral_charge_atomic,7.117734909057617,2.011460304260254,-5.106274604797363,5.0
1,172,neutron,neutral_charge_atomic,-0.3251457214355469,0.9409122467041016,1.2660579681396484,5.0
1,369,photon,massless_em_mediator,6.089278221130371,-0.8985519409179688,-6.98783016204834,5.0
1,20,photon,massless_em_mediator,6.123805999755859,-1.081695556640625,-7.205501556396484,5.0
1,248,photon,massless_em_mediator,4.12650203704834,-2.2226314544677734,-6.349133491516113,5.0
1,404,electron,negative_charge_atomic,4.145124435424805,-1.1429424285888672,-5.288066864013672,5.0
1,232,proton,positive_charge_atomic,4.389431476593018,1.309891700744629,-3.0795397758483887,5.0
1,322,neutron,nuclear_stability_provider,7.678031921386719,3.6772775650024414,-4.000754356384277,5.0
1,13,neutron,neutral_charge_atomic,9.17414665222168,4.2837347984313965,-4.890411853790283,5.0
1,109,photon,massless_em_mediator,6.151902198791504,-1.8621406555175781,-8.014042854309082,5.0
1,429,electron,negative_charge_atomic,9.79055118560791,5.083036422729492,-4.707514762878418,5.0
1,336,electron,negative_charge_atomic,6.734516143798828,2.4479808807373047,-4.286535263061523,5.0
1,128,photon,massless_em_mediator,1.503631591796875,-0.5974693298339844,-2.1011009216308594,5.0
1,253,photon,massless_em_mediator,7.693480014801025,-1.9294557571411133,-9.622935771942139,5.0
1,80,neutron,nuclear_stability_provider,10.88343620300293,0.3783712387084961,-10.505064964294434,5.0
1,142,neutron,neutral_charge_atomic,6.9206013679504395,-0.6632976531982422,-7.583899021148682,5.0
