experiment_type,layer,feature_id,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n
patching,24,48363,0.5423177083333334,0.453125,0.3958357027388025,-0.19596354166666666,-0.21875,1171875.573460479,0.5260416666666666,0.330078125,0.020833333333333332,48
patching,24,58564,0.5944010416666666,0.5,0.44205877070160143,-0.13346354166666666,-0.125,1171875.620727961,0.5260416666666666,0.392578125,0.020833333333333332,48
patching,24,60321,0.5852864583333334,0.515625,0.4378674171165241,-0.12955729166666666,-0.1875,1171875.6012736212,0.5260416666666666,0.396484375,0.0625,48
patching,24,76363,0.5579427083333334,0.46875,0.42580247218404077,0.004557291666666667,-0.0625,911458.9028510386,0.5260416666666666,0.5305989583333334,0.041666666666666664,48
patching,24,76837,0.5631510416666666,0.375,0.4607919141404172,-0.12044270833333333,-0.125,781250.6679242137,0.5260416666666666,0.4055989583333333,0.08333333333333333,48
patching,24,79080,0.56640625,0.5,0.43814660613856715,-0.08723958333333333,-0.125,1041667.246761214,0.5260416666666666,0.4388020833333333,0.020833333333333332,48
patching,24,81698,0.5983072916666666,0.4375,0.4737977148249661,-0.146484375,-0.1875,651042.3408403954,0.5260416666666666,0.3795572916666667,0.0625,48
patching,24,118673,0.5625,0.4375,0.44123594848339653,-0.109375,-0.171875,1041667.2565927972,0.5260416666666666,0.4166666666666667,0.041666666666666664,48
patching,24,119196,0.6015625,0.5,0.45521231456298195,-0.18619791666666666,-0.21875,1432292.292428762,0.5260416666666666,0.33984375,0.0625,48
patching,24,131457,0.5494791666666666,0.40625,0.4338675827299979,0.015625,-0.0625,1432292.187491726,0.5260416666666666,0.5416666666666666,0.020833333333333332,48
patching,24,134204,0.5826822916666666,0.4375,0.44295092044652506,-0.119140625,-0.171875,911458.9883090119,0.5260416666666666,0.4069010416666667,0.08333333333333333,48
patching,24,136810,0.521484375,0.375,0.4512539898045164,0.004557291666666667,-0.015625,651042.2649694931,0.5260416666666666,0.5305989583333334,0.0625,48
patching,25,15948,0.9921875,0.859375,0.703675168917494,-0.8190104166666666,-0.8125,781250.7855793857,0.5260416666666666,-0.29296875,0.10416666666666667,48
patching,25,19816,0.9928385416666666,0.890625,0.7006787998486913,-0.822265625,-0.796875,911459.1380247999,0.5260416666666666,-0.2962239583333333,0.125,48
patching,25,34754,0.9869791666666666,0.859375,0.7010521553755737,-0.8177083333333334,-0.796875,1041667.4723848248,0.5260416666666666,-0.2916666666666667,0.125,48
patching,25,41381,1.0963541666666667,0.921875,0.7746082929684273,-0.9244791666666666,-0.875,1562500.8766305447,0.5260416666666666,-0.3984375,0.125,48
patching,25,43384,1.033203125,0.890625,0.7346446214534292,-0.8587239583333334,-0.828125,1171875.8464375895,0.5260416666666666,-0.3326822916666667,0.125,48
patching,25,59053,1.0481770833333333,0.875,0.7465556529651963,-0.8815104166666666,-0.84375,1171875.8673464989,0.5260416666666666,-0.35546875,0.10416666666666667,48
patching,25,63207,0.966796875,0.875,0.7378055130924418,-0.7975260416666666,-0.8125,651042.399661424,0.5260416666666666,-0.271484375,0.08333333333333333,48
patching,25,64049,0.9895833333333334,0.875,0.7131439947650852,-0.8033854166666666,-0.828125,911459.1345079867,0.5260416666666666,-0.27734375,0.125,48
patching,25,70978,0.9791666666666666,0.859375,0.7099611042187777,-0.8098958333333334,-0.8125,781250.8100343411,0.5260416666666666,-0.2838541666666667,0.125,48
patching,25,90133,1.0169270833333333,0.9375,0.7137737754700427,-0.8111979166666666,-0.765625,1041667.5104793212,0.5260416666666666,-0.28515625,0.125,48
patching,25,104408,0.9459635416666666,0.828125,0.6774758690638254,-0.7662760416666666,-0.734375,781250.7457022769,0.5260416666666666,-0.240234375,0.125,48
patching,25,111603,1.0130208333333333,0.90625,0.6801112057717561,-0.8606770833333334,-0.8125,781250.8615497989,0.5260416666666666,-0.3346354166666667,0.125,48
patching,25,138698,0.9772135416666666,0.8125,0.6940793611300974,-0.8040364583333334,-0.765625,911459.149399371,0.5260416666666666,-0.2779947916666667,0.125,48
patching,25,142914,0.9505208333333334,0.796875,0.6791634713626264,-0.7526041666666666,-0.703125,1041667.4156924748,0.5260416666666666,-0.2265625,0.125,48
patching,25,159196,0.9602864583333334,0.84375,0.7334935459069764,-0.8626302083333334,-0.703125,911459.1076088968,0.5260416666666666,-0.3365885416666667,0.10416666666666667,48
patching,25,163068,0.9993489583333334,0.90625,0.7035567404789466,-0.8248697916666666,-0.765625,1041667.4826843798,0.5260416666666666,-0.298828125,0.125,48
