prompt_idx,feature_id,layer,zone,contribution_to_correct,effect_size,data_source
19,L21_F54492,21,mid,,,none
19,L22_F32734,22,mid,,,none
19,L22_F78043,22,mid,0.765625,-0.765625,ablation_zero
19,L23_F40170,23,late,5.625,-5.625,ablation_zero
19,L23_F6889,23,late,5.125,-5.125,ablation_zero
19,L24_F35447,24,late,1.0,-1.0,ablation_zero
19,L25_F43384,25,late,3.1875,-3.1875,ablation_zero
19,L25_F54011,25,late,3.063563823699951,-3.063563823699951,ablation_zero
19,L25_F90133,25,late,3.0625,-3.0625,ablation_zero
20,L13_F63127,13,early,,,none
20,L14_F129011,14,early,,,none
20,L15_F127839,15,early,0.625,-0.625,ablation_zero
20,L16_F45664,16,early,1.4307928085327148,-1.4307928085327148,ablation_zero
20,L16_F76227,16,early,,,none
20,L17_F111317,17,mid,-2.932968139648437,2.932968139648437,ablation_zero
20,L17_F51924,17,mid,,,none
20,L18_F149556,18,mid,0.5625,-0.5625,ablation_zero
20,L18_F27853,18,mid,,,none
20,L19_F29102,19,mid,,,none
20,L20_F36426,20,mid,,,none
20,L21_F54492,21,mid,,,none
20,L22_F32734,22,mid,,,none
20,L22_F78043,22,mid,5.046875,-5.046875,ablation_zero
20,L23_F40170,23,late,5.375,-5.375,ablation_zero
20,L23_F6889,23,late,5.3125,-5.3125,ablation_zero
20,L24_F35447,24,late,-0.171875,0.171875,ablation_zero
20,L25_F43384,25,late,4.25,-4.25,ablation_zero
20,L25_F54011,25,late,4.3376195430755615,-4.3376195430755615,ablation_zero
20,L25_F90133,25,late,4.125,-4.125,ablation_zero
21,L13_F63127,13,early,,,none
21,L14_F129011,14,early,,,none
21,L15_F127839,15,early,1.0625,-1.0625,ablation_zero
21,L16_F45664,16,early,-0.1887969970703125,0.1887969970703125,ablation_zero
21,L16_F76227,16,early,,,none
21,L17_F111317,17,mid,-0.4579849243164062,0.4579849243164062,ablation_zero
21,L17_F51924,17,mid,,,none
21,L18_F149556,18,mid,1.25,-1.25,ablation_zero
21,L18_F27853,18,mid,,,none
21,L19_F29102,19,mid,,,none
21,L20_F36426,20,mid,,,none
21,L21_F54492,21,mid,,,none
21,L22_F32734,22,mid,,,none
21,L22_F78043,22,mid,3.0625,-3.0625,ablation_zero
21,L23_F40170,23,late,4.1875,-4.1875,ablation_zero
21,L23_F6889,23,late,4.125,-4.125,ablation_zero
21,L24_F35447,24,late,-1.4375,1.4375,ablation_zero
21,L25_F43384,25,late,3.359375,-3.359375,ablation_zero
21,L25_F54011,25,late,3.5003538131713867,-3.5003538131713867,ablation_zero
21,L25_F90133,25,late,3.25,-3.25,ablation_zero
22,L13_F63127,13,early,,,none
22,L14_F129011,14,early,,,none
22,L15_F127839,15,early,0.625,-0.625,ablation_zero
22,L16_F45664,16,early,-0.3935070037841797,0.3935070037841797,ablation_zero
22,L16_F76227,16,early,,,none
22,L17_F111317,17,mid,0.4375562667846679,-0.4375562667846679,ablation_zero
22,L17_F51924,17,mid,,,none
22,L18_F149556,18,mid,-0.4375,0.4375,ablation_zero
22,L18_F27853,18,mid,,,none
22,L19_F29102,19,mid,,,none
22,L20_F36426,20,mid,,,none
22,L21_F54492,21,mid,,,none
22,L22_F32734,22,mid,,,none
22,L22_F78043,22,mid,1.0,-1.0,ablation_zero
22,L23_F40170,23,late,2.9375,-2.9375,ablation_zero
22,L23_F6889,23,late,2.9375,-2.9375,ablation_zero
22,L24_F35447,24,late,-1.8125,1.8125,ablation_zero
22,L25_F43384,25,late,1.8125,-1.8125,ablation_zero
22,L25_F54011,25,late,2.1986777782440186,-2.1986777782440186,ablation_zero
22,L25_F90133,25,late,1.8125,-1.8125,ablation_zero
23,L13_F63127,13,early,,,none
23,L14_F129011,14,early,,,none
23,L15_F127839,15,early,-0.4375,0.4375,ablation_zero
23,L16_F45664,16,early,-3.116094827651977,3.116094827651977,ablation_zero
23,L16_F76227,16,early,,,none
23,L17_F111317,17,mid,-6.048315048217773,6.048315048217773,ablation_zero
23,L17_F51924,17,mid,,,none
23,L18_F149556,18,mid,0.875,-0.875,ablation_zero
23,L18_F27853,18,mid,,,none
23,L19_F29102,19,mid,,,none
23,L20_F36426,20,mid,,,none
23,L21_F54492,21,mid,,,none
23,L22_F32734,22,mid,,,none
23,L22_F78043,22,mid,2.125,-2.125,ablation_zero
23,L23_F40170,23,late,2.375,-2.375,ablation_zero
23,L23_F6889,23,late,2.375,-2.375,ablation_zero
23,L24_F35447,24,late,3.9375,-3.9375,ablation_zero
23,L25_F43384,25,late,3.03125,-3.03125,ablation_zero
23,L25_F54011,25,late,2.860106468200684,-2.860106468200684,ablation_zero
23,L25_F90133,25,late,3.03125,-3.03125,ablation_zero
24,L13_F63127,13,early,,,none
24,L14_F129011,14,early,,,none
24,L15_F127839,15,early,-0.3125,0.3125,ablation_zero
24,L16_F45664,16,early,0.5438728332519531,-0.5438728332519531,ablation_zero
24,L16_F76227,16,early,,,none
24,L17_F111317,17,mid,-0.3444089889526367,0.3444089889526367,ablation_zero
24,L17_F51924,17,mid,,,none
24,L18_F149556,18,mid,-0.5,0.5,ablation_zero
24,L18_F27853,18,mid,,,none
24,L19_F29102,19,mid,,,none
24,L20_F36426,20,mid,,,none
24,L21_F54492,21,mid,,,none
24,L22_F32734,22,mid,,,none
24,L22_F78043,22,mid,0.25,-0.25,ablation_zero
24,L23_F40170,23,late,0.53125,-0.53125,ablation_zero
24,L23_F6889,23,late,0.78125,-0.78125,ablation_zero
24,L24_F35447,24,late,0.875,-0.875,ablation_zero
24,L25_F43384,25,late,2.21875,-2.21875,ablation_zero
24,L25_F54011,25,late,2.038273334503174,-2.038273334503174,ablation_zero
24,L25_F90133,25,late,1.96875,-1.96875,ablation_zero
25,L13_F63127,13,early,,,none
25,L14_F129011,14,early,,,none
25,L15_F127839,15,early,-0.125,0.125,ablation_zero
25,L16_F45664,16,early,0.6339578628540039,-0.6339578628540039,ablation_zero
25,L16_F76227,16,early,,,none
25,L17_F111317,17,mid,-2.4191036224365234,2.4191036224365234,ablation_zero
25,L17_F51924,17,mid,,,none
25,L18_F149556,18,mid,-1.3125,1.3125,ablation_zero
25,L18_F27853,18,mid,,,none
25,L19_F29102,19,mid,,,none
25,L20_F36426,20,mid,,,none
25,L21_F54492,21,mid,,,none
25,L22_F32734,22,mid,,,none
25,L22_F78043,22,mid,1.8125,-1.8125,ablation_zero
25,L23_F40170,23,late,2.03125,-2.03125,ablation_zero
25,L23_F6889,23,late,2.15625,-2.15625,ablation_zero
25,L24_F35447,24,late,1.875,-1.875,ablation_zero
25,L25_F43384,25,late,6.6875,-6.6875,ablation_zero
