cluster_id,top_k,metadata_field,metadata_value,observed_count,expected_count,observed_fraction,expected_fraction,lift,log_odds,cluster_abs_mass_covered,fisher_pval,rank_within_field
0,30,physics_concept,beta_decay,18,14.936,0.6,0.4979,1.2051,0.1866,0.1548,0.16669,1
0,30,physics_concept,alpha_decay,12,15.064,0.4,0.5021,0.7966,-0.2274,0.1548,0.91106,2
0,50,physics_concept,beta_decay,33,24.894,0.66,0.4979,1.3256,0.2819,0.2353,0.01106,1
0,50,physics_concept,alpha_decay,17,25.106,0.34,0.5021,0.6771,-0.3899,0.2353,0.99526,2
0,75,physics_concept,beta_decay,49,37.34,0.6533,0.4979,1.3123,0.2717,0.3277,0.00236,1
0,75,physics_concept,alpha_decay,26,37.66,0.3467,0.5021,0.6904,-0.3705,0.3277,0.99898,2
0,100,physics_concept,beta_decay,64,49.787,0.64,0.4979,1.2855,0.2511,0.4111,0.00095,1
0,100,physics_concept,alpha_decay,36,50.213,0.36,0.5021,0.7169,-0.3328,0.4111,0.99957,2
0,10,keyword_free,True,9,9.149,0.9,0.9149,0.9837,-0.0164,0.0608,0.79404,2
0,10,keyword_free,False,1,0.851,0.1,0.0851,1.175,0.1613,0.0608,0.59282,1
0,20,keyword_free,True,18,18.298,0.9,0.9149,0.9837,-0.0164,0.1108,0.76278,2
0,20,keyword_free,False,2,1.702,0.1,0.0851,1.175,0.1613,0.1108,0.52149,1
0,30,keyword_free,True,26,27.447,0.8667,0.9149,0.9473,-0.0542,0.1548,0.89992,2
0,30,keyword_free,False,4,2.553,0.1333,0.0851,1.5667,0.449,0.1548,0.24525,1
0,50,keyword_free,True,43,45.745,0.86,0.9149,0.94,-0.0619,0.2353,0.95118,2
0,50,keyword_free,False,7,4.255,0.14,0.0851,1.645,0.4977,0.2353,0.11752,1
0,75,keyword_free,True,67,68.617,0.8933,0.9149,0.9764,-0.0238,0.3277,0.83184,2
0,75,keyword_free,False,8,6.383,0.1067,0.0851,1.2533,0.2258,0.3277,0.29616,1
0,100,keyword_free,True,91,91.489,0.91,0.9149,0.9947,-0.0054,0.4111,0.66499,2
0,100,keyword_free,False,9,8.511,0.09,0.0851,1.0575,0.0559,0.4111,0.48868,1
0,10,evidence_completeness,single,8,8.128,0.8,0.8128,0.9843,-0.0158,0.0608,0.71699,2
0,10,evidence_completeness,combination,2,1.532,0.2,0.1532,1.3056,0.2666,0.0608,0.46887,1
0,20,evidence_completeness,single,16,16.255,0.8,0.8128,0.9843,-0.0158,0.1108,0.68682,2
0,20,evidence_completeness,combination,4,3.064,0.2,0.1532,1.3056,0.2666,0.1108,0.3673,1
0,30,evidence_completeness,single,25,24.383,0.8333,0.8128,1.0253,0.025,0.1548,0.49548,2
0,30,evidence_completeness,combination,5,4.596,0.1667,0.1532,1.088,0.0843,0.1548,0.49822,1
0,50,evidence_completeness,single,37,40.638,0.74,0.8128,0.9105,-0.0938,0.2353,0.93937,3
0,50,evidence_completeness,combination,10,7.66,0.2,0.1532,1.3056,0.2666,0.2353,0.21756,2
0,50,evidence_completeness,full,3,1.702,0.06,0.034,1.7625,0.5667,0.2353,0.23649,1
