cluster_id,metadata_field,metadata_value,weighted_mass,weighted_fraction,global_fraction,weighted_lift,weighted_log_odds,weighted_rank_within_field
0,cue_label,charge_plus_a_unchanged,3.275,0.0262,0.01277,2.0524,0.719,1
0,cue_label,daughter_n_minus1,2.1875,0.0175,0.01702,1.0282,0.0278,17
0,cue_label,z_plus1_with_antineutrino,2.6625,0.0213,0.01702,1.2514,0.2243,10
0,cue_label,antineutrino_emitted,2.7375,0.0219,0.02128,1.0294,0.0289,16
0,cue_label,neutron_to_proton,2.3813,0.01905,0.02128,0.8954,-0.1105,19
0,cue_label,mass_plus_daughter_a,1.0376,0.0083,0.01702,0.4877,-0.7181,35
0,cue_label,narrative_ejection,2.6,0.0208,0.01277,1.6294,0.4882,4
0,cue_label,charge_plus_z_change,3.675,0.0294,0.01702,1.7273,0.5466,2
0,cue_label,daughter_a_unchanged,1.9625,0.0157,0.02553,0.6149,-0.4862,30
0,cue_label,not_nuclear_fragment,1.1625,0.0093,0.01277,0.7285,-0.3167,24
0,cue_label,baryon_number_4,1.3125,0.0105,0.01277,0.8225,-0.1954,20
0,cue_label,daughter_z_plus1,4.4875,0.0359,0.02553,1.4062,0.3409,7
0,cue_label,daughter_z_minus2,4.025,0.0322,0.02553,1.2612,0.2321,9
0,cue_label,emitted_mass_negligible,1.7125,0.0137,0.01702,0.8049,-0.217,21
0,cue_label,daughter_z_and_a_alpha,2.125,0.017,0.02128,0.799,-0.2243,22
0,cue_label,electron_equivalence,1.0562,0.00845,0.01702,0.4964,-0.7003,34
0,cue_label,lepton_family,1.4813,0.01185,0.01702,0.6962,-0.3621,26
0,cue_label,charge_plus_daughter_z,2.3375,0.0187,0.01702,1.0987,0.0941,15
0,cue_label,emitted_charge_plus2,3.7,0.0296,0.02553,1.1594,0.1479,14
0,difficulty,hard,12.2811,0.09825,0.09362,1.0495,0.0483,2
0,difficulty,easy,79.1439,0.63318,0.65106,0.9725,-0.0278,3
0,difficulty,medium,33.5689,0.26856,0.25532,1.0519,0.0506,1
0,inference_steps,1,32.6438,0.26116,0.29787,0.8768,-0.1315,5
0,inference_steps,2,59.0126,0.47212,0.44255,1.0668,0.0647,2
0,inference_steps,3,24.4814,0.19586,0.19149,1.0228,0.0226,3
0,inference_steps,4,3.7312,0.02985,0.03191,0.9353,-0.0669,4
0,inference_steps,5,5.1249,0.041,0.03617,1.1336,0.1254,1
